"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"2180","ENSMUSG00000041729",129.32745486553,-0.583582705924479,0.224340250514688,-2.60132858274699,0.00928634612607081,0.0547126286502839,"Coro2b"
"2942","ENSMUSG00000079018",454.896264005914,-0.583728385213696,0.250228493083266,-2.33278144315665,0.019659619105548,0.091045614089413,"Ly6c1"
"1274","ENSMUSG00000029161",2555.06578788459,-0.583897774144657,0.245586267227558,-2.37756687593457,0.0174272825249308,0.0838312383526843,"Cgref1"
"1472","ENSMUSG00000031380",591.216335205784,-0.584349002513338,0.203744147951823,-2.86805293986413,0.00413006420054849,0.030938141197643,"Vegfd"
"1564","ENSMUSG00000032348",241.284564854596,-0.587417587619758,0.170131313455463,-3.45273057433681,0.000554942976485035,0.00808648363447743,"Gsta4"
"2717","ENSMUSG00000060284",5628.12959351148,-0.587989695428959,0.179825861721743,-3.26977271121768,0.00107633930530285,0.012652308377296,"Sp7"
"1544","ENSMUSG00000032174",43.8698514084182,-0.589757613801452,0.257182658811989,-2.29314688838561,0.0218395496926519,0.0984724550950673,"Icam5"
"2101","ENSMUSG00000040310",295.934739961673,-0.590391908147511,0.179858754133598,-3.28253084478153,0.00102879729751893,0.0123050637396162,"Alx4"
"2480","ENSMUSG00000050530",1945.31878368416,-0.590860509624672,0.116688193825109,-5.06358432893605,4.11446253625204e-07,6.69628777775019e-05,"Fam171a1"
"2290","ENSMUSG00000044122",61.0052268952941,-0.592066182281317,0.243461024795322,-2.4318725462487,0.0150209919581425,0.0761691324405663,"Proca1"
"524","ENSMUSG00000020937",240.744616027543,-0.597880128714834,0.162730797793816,-3.67404410732604,0.000238741492929356,0.00453940883148431,"Plcd3"
"1828","ENSMUSG00000036570",828.950130243948,-0.598090191181336,0.25100515863808,-2.3827804752161,0.0171824372928149,0.0830039223427818,"Fxyd1"
"2931","ENSMUSG00000078490",70.6883537230974,-0.598769945212972,0.221342144641933,-2.70517820355272,0.00682677558314547,0.0437752575033685,"Cfap74"
"580","ENSMUSG00000021464",761.354293901966,-0.599170732797163,0.144774401784496,-4.1386510696073,3.49353802160674e-05,0.00119400395733465,"Ror2"
"2483","ENSMUSG00000050556",178.771057002638,-0.599375322562049,0.232514229458919,-2.57780061012545,0.00994313535820524,0.0575985607974677,"Kcnb1"
"206","ENSMUSG00000006958",175.10493852763,-0.600059610084188,0.177253439287237,-3.38531998305432,0.000710953248538953,0.00952886456938826,"Chrd"
"1587","ENSMUSG00000032554",11144.4301128304,-0.600072359743022,0.152673329425553,-3.93043344244112,8.47928641187648e-05,0.00222069587235179,"Trf"
"13","ENSMUSG00000000753",22305.896788349,-0.600322085997809,0.160969454955258,-3.72941615640478,0.000191923953282992,0.00386990024385218,"Serpinf1"
"772","ENSMUSG00000024112",329.672841804716,-0.600875394836135,0.23983528782865,-2.50536691358542,0.0122324423738686,0.0662033728001415,"Cacna1h"
"2460","ENSMUSG00000049687",131.401989573818,-0.603838406279896,0.194694630577365,-3.10146409528202,0.00192566223658472,0.0185001605315177,"Pheta2"
"3043","ENSMUSG00000116165",84.6056637234647,-0.605905291323707,0.184775920398768,-3.27913556060818,0.00104125604300845,0.0124106463504521,"Pdxp"
"1947","ENSMUSG00000038267",180.088829952471,-0.60639132866058,0.198040904087629,-3.06194991107627,0.00219900246551732,0.0203905046430501,"Slc22a23"
"896","ENSMUSG00000025330",210.544705932796,-0.606811773983895,0.229584495364198,-2.64308690803047,0.00821539451643049,0.0499389321627929,"Padi4"
"1003","ENSMUSG00000026723",187.069159855893,-0.607636159413956,0.181364970220417,-3.35035017332995,0.000807094585487619,0.0103506473529092,"Trdmt1"
"1581","ENSMUSG00000032492",8185.99061154686,-0.608163247514821,0.198408785925498,-3.06520321001905,0.00217522147618391,0.0202433307017769,"Pth1r"
"2782","ENSMUSG00000064125",31.9267504036158,-0.608327591401628,0.228730822607561,-2.65957855817863,0.00782384819610235,0.0482670707079942,"Prr36"
"2400","ENSMUSG00000047749",194.030482383156,-0.610551721352179,0.136088258414653,-4.48643937739185,7.24233116093909e-06,0.000410829499175097,"Zc3hav1l"
"2337","ENSMUSG00000045498",25.4980007215943,-0.615524075702533,0.2556480341013,-2.40770118912251,0.0160533142734886,0.0792005988570418,"Pcdhb3"
"196","ENSMUSG00000006675",66.518465414019,-0.620709982496451,0.20608203067279,-3.01195587247485,0.00259570327579231,0.022849877323475,"P4htm"
"2745","ENSMUSG00000062012",165.640958705912,-0.621892610880882,0.220706225192461,-2.81773932900433,0.00483630561777936,0.0345981863425754,"Zfp13"
"1703","ENSMUSG00000034460",280.577145287913,-0.629029173341813,0.111834086850423,-5.62466409890871,1.85869290862424e-08,7.7000578041824e-06,"Six4"
"1004","ENSMUSG00000026725",8315.0924864881,-0.631055781797999,0.209105332326204,-3.01788469369855,0.00254545737188019,0.0225381785822371,"Tnn"
"2478","ENSMUSG00000050394",140.007369303246,-0.631641615383369,0.193317689350505,-3.26737619048476,0.00108549334028917,0.0127172232184233,"Armcx6"
"2743","ENSMUSG00000061894",182.705683682246,-0.631892887249911,0.207488459769234,-3.04543630018119,0.00232342989722928,0.0211475433588692,"Zscan20"
